#,Company,Symbol,Weight,Price,Chg,% Chg
454,Pentair Plc,PNR,0.02837,63.98,-0.62,(-0.95%)
455,Tapestry Inc,TPR,0.027634,43.53,0.73,(1.70%)
456,Ceridian Hcm Holding Inc,CDAY,0.027429,65.76,-1.21,(-1.81%)
457,Qorvo Inc,QRVO,0.027387,101.25,-0.78,(-0.76%)
458,Universal Health Services B,UHS,0.027149,154.61,-3.16,(-2.00%)
459,Juniper Networks Inc,JNPR,0.026982,31.37,0.04,(0.11%)
460,Eastman Chemical Co,EMN,0.026943,85.7,1.98,(2.37%)
461,Rollins Inc,ROL,0.026602,42.53,-0.3,(-0.71%)
462,Globe Life Inc,GL,0.026466,110.28,0.66,(0.61%)
463,Marketaxess Holdings Inc,MKTX,0.026291,264.45,3.03,(1.16%)
464,Regency Centers Corp,REG,0.025571,62.4,0.63,(1.01%)
465,Smith (a.O.) Corp,AOS,0.024956,72.34,-0.44,(-0.60%)
466,Generac Holdings Inc,GNRC,0.024936,150.31,1.18,(0.79%)
467,Campbell Soup Co,CPB,0.02474,46.53,0.82,(1.79%)
468,Fox Corp Class A,FOXA,0.024614,34.31,0.31,(0.90%)
469,Pinnacle West Capital,PNW,0.0245,81.65,0.19,(0.24%)
470,Huntington Ingalls Industrie,HII,0.024213,228.67,1.07,(0.47%)
471,Norwegian Cruise Line Holdin,NCLH,0.024154,21.9,0.13,(0.57%)
472,Nrg Energy Inc,NRG,0.02351,35.78,-1.61,(-4.32%)
473,F5 Inc,FFIV,0.023275,144.07,-2.19,(-1.50%)
474,Keycorp,KEY,0.02318,9.64,0.4,(4.32%)
475,Dentsply Sirona Inc,XRAY,0.023156,39.61,-0.41,(-1.02%)
476,Bath & Body Works Inc,BBWI,0.022874,37.85,0.35,(0.92%)
477,Robert Half Intl Inc,RHI,0.022127,75.56,0.34,(0.45%)
478,Hasbro Inc,HAS,0.022099,64.39,-0.38,(-0.59%)
479,Whirlpool Corp,WHR,0.021679,148.92,0.13,(0.08%)
480,Boston Properties Inc,BXP,0.021677,58.54,0.95,(1.65%)
481,Bio Rad Laboratories A,BIO,0.021611,376.94,-2.18,(-0.57%)
482,Paramount Global Class B,PARA,0.021484,16.31,0.4,(2.51%)
483,Catalent Inc,CTLT,0.020984,44.0,0.64,(1.46%)
484,Franklin Resources Inc,BEN,0.020474,27.3,0.59,(2.19%)
485,Invesco Ltd,IVZ,0.02045,16.71,-0.1,(-0.59%)
486,News Corp Class A,NWSA,0.020329,19.55,0.05,(0.28%)
487,Westrock Co,WRK,0.019759,29.3,0.23,(0.79%)
488,Federal Realty Invs Trust,FRT,0.018996,97.4,0.63,(0.66%)
489,Assurant Inc,AIZ,0.017911,125.87,0.15,(0.12%)
490,Alaska Air Group Inc,ALK,0.017645,53.15,-0.03,(-0.06%)
491,Vf Corp,VFC,0.01695,19.15,0.06,(0.31%)
492,Dxc Technology Co,DXC,0.016416,26.89,0.17,(0.65%)
493,Sealed Air Corp,SEE,0.015872,40.46,0.46,(1.15%)
494,Davita Inc,DVA,0.014963,98.06,-2.41,(-2.40%)
495,Comerica Inc,CMA,0.014915,43.9,1.54,(3.64%)
496,Mohawk Industries Inc,MHK,0.014185,103.21,0.05,(0.04%)
497,Organon & Co,OGN,0.014055,20.82,0.01,(0.02%)
498,Ralph Lauren Corp,RL,0.013593,123.72,0.42,(0.34%)
499,Fox Corp Class B,FOX,0.011914,32.11,0.22,(0.69%)
500,Advance Auto Parts Inc,AAP,0.011372,71.0,0.7,(1.00%)
501,Zions Bancorp Na,ZION,0.010822,28.05,1.19,(4.45%)
502,Lincoln National Corp,LNC,0.010672,26.2,0.44,(1.71%)
503,Newell Brands Inc,NWL,0.008777,9.05,0.35,(3.97%)
504,News Corp Class B,NWS,0.006446,19.73,0.01,(0.05%)
